smiles,HSA Binding
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Yes
C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F.[K+],Yes
C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F.[K+],Yes
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O,Yes
C(=O)(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(OC(C(OC(C(=O)O)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(OC(C(OC(C(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Yes
C(=O)(C(OC(F)(F)F)(F)F)[O-].[Na+],Yes
C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)F)(F)F)F,Yes
C(C(OC(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)[O-])(F)F)F.[K+],Yes
C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F,Yes
C(C(C(C(=O)O)(F)F)(F)F)(F)F,Yes
C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F,Yes
C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Yes
C(CC(C(C(F)(F)F)(F)F)(F)F)C(=O)O,Yes
C(CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,Yes
C(C(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Yes
C(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,Yes
C(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)[O-].[K+],Yes
C(CS(=O)(=O)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Yes
C(CS(=O)(=O)[O-])C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.[K+],Yes
C(CO)C(C(C(F)(F)F)(F)F)(F)F,No
C(CO)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,No
C(CCO)CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,No
C(CO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,No
C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,Yes
C(C(C(C(F)(F)F)(F)F)(F)F)OC(C(C(F)(F)F)F)(F)F,Yes
C(C(F)(F)F)(C(F)(F)F)N,No
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N,No
C(C(C(F)(F)F)(F)F)NCC(C(F)(F)F)(F)F,Yes
C(=O)(C(C(F)(F)F)(F)F)N,No
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)N,Yes
C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)N,No
CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Yes
CCN(CCO)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,No
C(C(F)F)OS(=O)(=O)C(F)(F)F,Yes
CCOS(=O)(=O)C(F)(F)F,Yes
C(C(C(F)F)(F)F)OS(=O)(=O)C(F)(F)F,No
